id;title;fonoteegi_nr;description;eetris;kestus;toimetajad;kategooria;esinejad;url;video
891;Päevakaja: PÄEVAKAJA NR. 16024 kl. 20;RMARH-3405;"";14.03.2005;00:13:39;Toom Uku;Päevakaja;"Toom Uku, Parts Juhan, Ansip Andrus, Männik Jaanus, Mälberg Mall, Mikser Sven, Seppik Ain, Tomberg Hanno, Kork Andres, Maripuu Maret, Must Kadri, Marrandi Jaanus, Aunin Martin, Kana Aadu, Karjatse Tõnu, Must Aadu, Jänes Laine, Paavo Vambola";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16024-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3405_RMARHIIV.m4a
892;Päevakaja: PÄEVAKAJA NR. 16025 kl. 18;RMARH-3406;"";15.03.2005;00:20:26;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Mikser Sven, Seppik Ain, Parts Juhan, Ansip Andrus, Tammsaar Tiit, Toom Uku, Savisaar Edgar, Kelmsaar Vallo, Kork Andres, Laar Mart, Kompus Meelis, Altmäe Arvi, Nikolajev Jüri, Eichenbaum Külli, Kelt Toomas";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16025-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3406_RMARHIIV.m4a
893;PÄEVAKAJA NR. 16025 kl. 20;RMARH-3407;"";15.03.2005;00:13:40;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Savisaar Edgar, Palts Tõnis, Karjatse Tõnu, Mikser Sven, Seppik Ain, Parts Juhan, Ansip Andrus, Tammsaar Tiit, Toom Uku, Kelmsaar Vallo, Vare Kai, Altmäe Arvi, Nikolajev Jüri";https://arhiiv.err.ee/vaata/paevakaja-nr-16025-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3407_RMARHIIV.m4a
894;PÄEVAKAJA NR. 16026 kl. 20;RMARH-3409;"";16.03.2005;00:13:23;Mälberg Mall;Päevakaja;"Mälberg Mall, Mikser Sven, Ansip Andrus, Männik Jaanus, Kreitzberg Peeter, Toom Uku, Parts Juhan, Raud Neeme, Saksing Priit, Nikolajev Jüri, Bukato Igor, Silde Ago, Vähi Tiit, Kompus Meelis";https://arhiiv.err.ee/vaata/paevakaja-nr-16026-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3409_RMARHIIV.m4a
895;PÄEVAKAJA NR. 16026 kl. 18;RMARH-3408;"";16.03.2005;00:20:16;Mälberg Mall;Päevakaja;"Mälberg Mall, Vaher Ken-Marti, Ligi Jürgen, Mikser Sven, Atonen Meelis, Ansip Andrus, Männik Jaanus, Kreitzberg Peeter, Toom Uku, Parts Juhan, Kelmsaar Vallo, Neivelt Indrek, Kolga Hendrik, Stolberg Carl Erik, Tomberg Hanno, Maiberg Tarmo, Lang Rein, Vamos Youri, Afanasjev Aleksei, Scott Michael, Kuningas Neeme, Kompus Meelis";https://arhiiv.err.ee/vaata/paevakaja-nr-16026-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3408_RMARHIIV.m4a
896;PÄEVAKAJA NR. 16027 kl. 18;RMARH-3410;"";17.03.2005;00:21:01;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Parts Juhan, Jõerüüt Jaak, Mälberg Mall, Reiljan Villu, Sepp Evelyn, Karjatse Tõnu, Kriis Tarmo, Buschak Willy, Kiisler Indrek, Soosaar Mark, Hallik Ülle, Šemtšugov Oleg, Mark Ülar";https://arhiiv.err.ee/vaata/paevakaja-nr-16027-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3410_RMARHIIV.m4a
897;PÄEVAKAJA NR. 16027 kl. 20;RMARH-3411;"";17.03.2005;00:14:10;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Parts Juhan, Mälberg Mall, Reiljan Villu, Lapp Toomas, Jänes Laine, Tamm Hannes, Veldre Ülo, Kelt Toomas, Uljas Jüri, Rummo Paul-Eerik, Lopp Nele";https://arhiiv.err.ee/vaata/paevakaja-nr-16027-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3411_RMARHIIV.m4a
898;Päevakaja: PÄEVAKAJA NR. 16028 kl. 20;RMARH-3413;"";18.03.2005;00:13:08;Mälberg Mall;Päevakaja;"Mälberg Mall, Kork Andres, Aaviksoo Peep, Toom Uku, Veidemann Andra, Ustav Mart, Itse Birgit, Karjatse Tõnu, Raud Neeme";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16028-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3413_RMARHIIV.m4a
899;Päevakaja: PÄEVAKAJA NR. 16028 kl. 18;RMARH-3412;"";18.03.2005;00:19:42;Mälberg Mall;Päevakaja;"Mälberg Mall, Kork Andres, Aaviksoo Peep, Toom Uku, Veidemann Andra, Ustav Mart, Itse Birgit, Taliga Harri, Kelmsaar Vallo, Mihkelson Marko, Heidmets Mati, Karjatse Tõnu, Fanari Hugo, Tommingas Mare, Paavo Vambola";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16028-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3412_RMARHIIV.m4a
900;PÄEVAKAJA NR. 16029 kl. 18;RMARH-3414;"";19.03.2005;00:16:59;Talve Tanel;Päevakaja;"Talve Tanel, Kelam Tunne, Kelmsaar Vallo, Nielsen Katrin, Davidjants Kristiina, Korp Anu, Paavo Vambola, Elts Jaanus, Jüriado Toomas";https://arhiiv.err.ee/vaata/paevakaja-nr-16029-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3414_RMARHIIV.m4a
901;Päevakaja: PÄEVAKAJA NR. 16030 kl. 18;RMARH-3415;"";20.03.2005;00:11:58;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Parts Juhan, Mälberg Mall, Hindriks Astrid, Hallik Ülle, Palts Tõnis, Jõemaa Ülle";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16030-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3415_RMARHIIV.m4a
902;PÄEVAKAJA NR. 16031 kl. 20;RMARH-3417;"";21.03.2005;00:12:47;Toom Uku;Päevakaja;"Toom Uku, Vaher Ken-Marti, Ligi Jürgen, Lotman Mihhail, Ergma Ene, Parts Juhan, Raud Neeme, Karjatse Tõnu, Reinsalu Urmas, Mälberg Mall, Hussar Annika, Hiedel Kersti, Itse Birgit";https://arhiiv.err.ee/vaata/paevakaja-nr-16031-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3417_RMARHIIV.m4a
903;PÄEVAKAJA NR. 16031 kl. 18;RMARH-3416;"";21.03.2005;00:21:02;Toom Uku;Päevakaja;"Toom Uku, Vaher Ken-Marti, Ligi Jürgen, Lotman Mihhail, Ergma Ene, Parts Juhan, Ansip Andrus, Reiljan Villu, Kelmsaar Vallo, Reinsalu Urmas, Mälberg Mall, Hussar Annika, Hiedel Kersti, Itse Birgit";https://arhiiv.err.ee/vaata/paevakaja-nr-16031-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3416_RMARHIIV.m4a
904;PÄEVAKAJA NR. 16032 kl. 18;RMARH-3418;"";22.03.2005;00:22:00;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Ansip Andrus, Karjatse Tõnu, Reinsalu Urmas, Mikser Sven, Savisaar Vilja, Padar Ivari, Laar Mart, Männik Jaanus, Toom Uku, Vananurm Ilmar, Rüütel Arnold, Lopp Nele, Kompus Meelis, Schults Olev, Thornbech Borge, Itse Birgit, Jänes Laine, Paavo Vambola, Meos Aivar";https://arhiiv.err.ee/vaata/paevakaja-nr-16032-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3418_RMARHIIV.m4a
905;PÄEVAKAJA NR. 16032 kl. 20;RMARH-3419;"";22.03.2005;00:13:46;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Ansip Andrus, Karjatse Tõnu, Reinsalu Urmas, Mikser Sven, Savisaar Vilja, Padar Ivari, Laar Mart, Männik Jaanus, Toom Uku, Rüütel Arnold, Raud Neeme, Hallikmägi Väino, Täkker Raul, Hallik Ülle";https://arhiiv.err.ee/vaata/paevakaja-nr-16032-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3419_RMARHIIV.m4a
906;PÄEVAKAJA NR. 16033 kl. 18;RMARH-3420;"";23.03.2005;00:20:50;Mälberg Mall;Päevakaja;"Mälberg Mall, Reinsalu Urmas, Herkel Andres, Tõnisson Liina, Sepp Evelyn, Toom Uku, Palts Tõnis, Aaviksoo Peep, Parts Juhan, Lang Rein, Kiisler Indrek, Karjatse Tõnu, Raud Rein, Lotman Mihhail, Lopp Nele, Elken Jüri, Merilain Merike, Itse Birgit";https://arhiiv.err.ee/vaata/paevakaja-nr-16033-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3420_RMARHIIV.m4a
907;PÄEVAKAJA NR. 16033 kl. 20;RMARH-3421;"";23.03.2005;00:12:05;Mälberg Mall;Päevakaja;"Mälberg Mall, Sepp Toomas, Savisaar Edgar, Toom Uku, Mikser Sven, Sepp Evelyn, Reinsalu Urmas, Parts Juhan, Lang Rein, Kiisler Indrek, Kivimägi Toomas, Vali Lembit, Hallik Ülle";https://arhiiv.err.ee/vaata/paevakaja-nr-16033-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3421_RMARHIIV.m4a
908;PÄEVAKAJA NR. 16034 kl. 18;RMARH-3422;"";24.03.2005;00:19:40;Mälberg Mall;Päevakaja;"Mälberg Mall, Parts Juhan, Ansip Andrus, Kiisler Indrek, Ergma Ene, Mikser Sven, Ojuland Kristiina, Kiisler Siim-Valmar, Nestor Eiki, Toom Uku, Kompus Meelis, Pärgmäe Katrin, Vaher Ken-Marti, Taevere Mart, Karjatse Tõnu";https://arhiiv.err.ee/vaata/paevakaja-nr-16034-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3422_RMARHIIV.m4a
909;PÄEVAKAJA NR. 16034 kl. 20;RMARH-3423;"";24.03.2005;00:13:51;Mälberg Mall;Päevakaja;"Mälberg Mall, Parts Juhan, Ansip Andrus, Kiisler Indrek, Ergma Ene, Mikser Sven, Ojuland Kristiina, Kiisler Siim-Valmar, Nestor Eiki, Toom Uku, Itse Birgit, Karulin Ott, Väli Velvo, Karjatse Tõnu";https://arhiiv.err.ee/vaata/paevakaja-nr-16034-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3423_RMARHIIV.m4a
910;PÄEVAKAJA NR. 16035 kl. 18;RMARH-3424;"";25.03.2005;00:15:11;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Rüütel Arnold, Parts Juhan, Kabi Riina, Mälberg Mall, Putin Vladimir, Bakijev Kurmanbek, Pärn Priit, Trossek Andreas";https://arhiiv.err.ee/vaata/paevakaja-nr-16035-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3424_RMARHIIV.m4a
911;PÄEVAKAJA NR. 16036 kl 18;RMARH-3425;"";26.03.2005;00:10:42;Karjatse Tõnu;Päevakaja;"Karjatse Tõnu, Valker Tarvo, Kuningas Tiina";https://arhiiv.err.ee/vaata/paevakaja-nr-16036-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3425_RMARHIIV.m4a
912;PÄEVAKAJA NR. 16037 kl. 18;RMARH-3426;"";27.03.2005;00:11:50;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Tarto Enn, Liim Jüri, Velliste Trivimi, Varik Lauri, Kisseljov Sergei, Trossek Andreas, Oja Rein, Hallik Ülle";https://arhiiv.err.ee/vaata/paevakaja-nr-16037-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3426_RMARHIIV.m4a
913;PÄEVAKAJA NR. 16038 kl. 20;RMARH-3428;"";28.03.2005;00:12:50;Toom Uku;Päevakaja;"Toom Uku, Ansip Andrus, Savisaar Edgar, Tomberg Hanno, Kiisler Siim-Valmar, Atonen Meelis, Mälberg Mall, Itse Birgit, Eek Peeter, Karjatse Tõnu";https://arhiiv.err.ee/vaata/paevakaja-nr-16038-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3428_RMARHIIV.m4a
914;PÄEVAKAJA NR. 16038 kl. 18;RMARH-3427;"";28.03.2005;00:18:52;Toom Uku;Päevakaja;"Toom Uku, Ansip Andrus, Savisaar Edgar, Tomberg Hanno, Reiljan Villu, Mälberg Mall, Kiisler Indrek, Hallikmägi Väino, Reinhold Erik, Laanet Kalle, Hallik Ülle, Kreulen Harm, Viilup Ülo, Karjatse Tõnu, Aeg Raivo, Tiisler Tarmo";https://arhiiv.err.ee/vaata/paevakaja-nr-16038-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3427_RMARHIIV.m4a
915;PÄEVAKAJA NR. 16039 kl. 20;RMARH-3430;"";29.03.2005;00:09:53;Eentalu Riina;Päevakaja;"Eentalu Riina, Lukas Tõnis, Ansip Andrus, Kelmsaar Vallo, Rüütel Arnold, Adamkus Valdas, Kiisler Indrek, Karjatse Tõnu";https://arhiiv.err.ee/vaata/paevakaja-nr-16039-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3430_RMARHIIV.m4a
916;PÄEVAKAJA NR. 16039 kl. 18;RMARH-3429;"";29.03.2005;00:18:57;Eentalu Riina;Päevakaja;"Eentalu Riina, Lukas Tõnis, Ansip Andrus, Kelmsaar Vallo, Padar Ivari, Savisaar Edgar, Kiisler Indrek, Kompus Meelis, Parusk Raul, Sõõrumaa Urmas, Vasar Veiko, Paavo Vambola, Vadi Maaja, Kaljurand Anneli, Abner Kadri";https://arhiiv.err.ee/vaata/paevakaja-nr-16039-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3429_RMARHIIV.m4a
917;PÄEVAKAJA NR. 16040 kl. 18;RMARH-3431;"";30.03.2005;00:14:44;Mälberg Mall;Päevakaja;"Mälberg Mall, Ansip Andrus, Parts Juhan, Herkel Andres, Kelmsaar Vallo, Savisaar Edgar, Toom Uku, Reiljan Villu, Wolfowitz Paul, Kiisler Indrek, Maripuu Meelis, Tarvel Enn, Rahi-Tamm Aigi, Abner Kadri";https://arhiiv.err.ee/vaata/paevakaja-nr-16040-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3431_RMARHIIV.m4a
918;PÄEVAKAJA NR. 16040 kl. 20;RMARH-3432;"";30.03.2005;00:11:45;Mälberg Mall;Päevakaja;"Mälberg Mall, Ansip Andrus, Parts Juhan, Herkel Andres, Kelmsaar Vallo, Savisaar Edgar, Kiisler Indrek, Maripuu Meelis, Tarvel Enn, Rahi-Tamm Aigi, Abner Kadri";https://arhiiv.err.ee/vaata/paevakaja-nr-16040-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3432_RMARHIIV.m4a
919;PÄEVAKAJA NR. 16041 kl. 18;RMARH-3433;"";31.03.2005;00:22:34;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Ansip Andrus, Savisaar Edgar, Reiljan Villu, Mälberg Mall, Mikser Sven, Mayer Paul, Kirikmäe Jaanus, Abner Kadri, Itse Birgit, Timmo Margus, Kelt Toomas, Jegorov Dmitri, Teder Tiia, Kompus Meelis";https://arhiiv.err.ee/vaata/paevakaja-nr-16041-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3433_RMARHIIV.m4a
920;PÄEVAKAJA NR. 16041 kl. 20;RMARH-3434;"";31.03.2005;00:13:50;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Rüütel Arnold, Ansip Andrus, Toom Uku, Savisaar Edgar, Reiljan Villu, Mälberg Mall, Mikser Sven, Mayer Paul, Kirikmäe Jaanus, Abner Kadri, Suvi Heli, Veri Rauno";https://arhiiv.err.ee/vaata/paevakaja-nr-16041-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3434_RMARHIIV.m4a
921;PÄEVAKAJA NR. 16042 kl. 18;RMARH-3435;"";01.04.2005;00:18:25;Mälberg Mall;Päevakaja;"Mälberg Mall, Jourdan Philippe, Leppik Jaan J., Johannes Paulus II, Tomberg Hanno, Toode Ülle, Kompus Meelis, Karjatse Tõnu, Heidmets Mati, Erelt Mati, Vare Kai, Kuuse Ülle, Müürsepp Mare, Kivirähk Andrus";https://arhiiv.err.ee/vaata/paevakaja-nr-16042-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3435_RMARHIIV.m4a
922;PÄEVAKAJA NR. 16042 kl. 20;RMARH-3436;"";01.04.2005;00:10:32;Mälberg Mall;Päevakaja;"Mälberg Mall, Leppik Jaan J., Johannes Paulus II, Rosimannus Rain, Parts Juhan, Toom Uku, Leemet Aet";https://arhiiv.err.ee/vaata/paevakaja-nr-16042-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3436_RMARHIIV.m4a
923;PÄEVAKAJA NR. 16043 kl. 18;RMARH-3437;"";02.04.2005;00:16:51;Vare Kai;Päevakaja;"Vare Kai, Ansip Andrus, Must Kadri, Männik Jaanus, Mälberg Mall, Savisaar Edgar, Meri Lennart, Oviir Siiri, Šalda Toomas, Pedajas Priit, Kivirähk Andrus, Väljaots Piret, Rist Piret, Freeman Cathy, Eentalu Riina";https://arhiiv.err.ee/vaata/paevakaja-nr-16043-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3437_RMARHIIV.m4a
924;PÄEVAKAJA NR. 16044 kl. 18;RMARH-3438;"";03.04.2005;00:10:31;Kompus Meelis;Päevakaja;"Kompus Meelis, Toode Ülle, Rõõmus Riina";https://arhiiv.err.ee/vaata/paevakaja-nr-16044-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3438_RMARHIIV.m4a
925;PÄEVAKAJA NR. 16045 kl. 18;RMARH-3439;"";04.04.2005;00:20:13;Toom Uku;Päevakaja;"Toom Uku, Ansip Andrus, Savisaar Edgar, Reiljan Villu, Tomberg Hanno, Zoellick Robert, Lang Rein, Kelmsaar Vallo, Kiisler Indrek, Kraft Vahur, Leesik Benno, Eentalu Riina, Ernits Toomas, Antov Dago, Sulu Tõnis";https://arhiiv.err.ee/vaata/paevakaja-nr-16045-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3439_RMARHIIV.m4a
926;PÄEVAKAJA NR. 16045 kl. 20;RMARH-3440;"";04.04.2005;00:11:32;Toom Uku;Päevakaja;"Toom Uku, Ansip Andrus, Savisaar Edgar, Reiljan Villu, Tomberg Hanno, Toode Ülle, Roška Juri, Koff Priit, Paavo Vambola";https://arhiiv.err.ee/vaata/paevakaja-nr-16045-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3440_RMARHIIV.m4a
927;PÄEVAKAJA NR. 16046 kl. 20;RMARH-3442;"";05.04.2005;00:13:02;Eentalu Riina;Päevakaja;"Eentalu Riina, Ansip Andrus, Savisaar Edgar, Reiljan Villu, Kiisler Indrek, Tamman Tiina, Eek Peeter, Kompus Meelis, Pihlak Kaia, Tungal Leelo, Abner Kadri";https://arhiiv.err.ee/vaata/paevakaja-nr-16046-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3442_RMARHIIV.m4a
928;PÄEVAKAJA NR. 16046 kl. 18;RMARH-3441;"";05.04.2005;00:18:36;Eentalu Riina;Päevakaja;"Eentalu Riina, Karjatse Tõnu, Kessler Kilvar, Trink Andres, Kiisler Indrek, Pomerants Marko, Pedak Külli, Abner Kadri, Eek Peeter, Epner Oleg, Kompus Meelis, Reiljan Villu, Mardiste Peep, Metsur Madis, Luhamets Joel, Kelt Toomas";https://arhiiv.err.ee/vaata/paevakaja-nr-16046-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3441_RMARHIIV.m4a
929;PÄEVAKAJA NR. 16047 kl. 20;RMARH-3444;"";06.04.2005;00:13:47;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Ansip Andrus, Savisaar Edgar, Toom Uku, Taliga Harri, Tammeleht Tiia, Pomerants Marko, Eentalu Riina, Josing Marje, Maiberg Tarmo";https://arhiiv.err.ee/vaata/paevakaja-nr-16047-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3444_RMARHIIV.m4a
930;PÄEVAKAJA NR. 16047 kl. 18;RMARH-3443;"";06.04.2005;00:22:29;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Josing Marje, Maiberg Tarmo, Teiter Kirill, Palts Tõnis, Eentalu Riina, Ansip Andrus, Savisaar Edgar, Toom Uku, Niilo Tiit, Tammsaar Tiit, Aidma Rein, Marrandi Jaanus, Kompus Meelis, Kivirähk Juhan, Pärenson Arvo";https://arhiiv.err.ee/vaata/paevakaja-nr-16047-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3443_RMARHIIV.m4a
931;PÄEVAKAJA NR. 16048 kl. 20;RMARH-3446;"";07.04.2005;00:12:04;Eentalu Riina;Päevakaja;"Eentalu Riina, Savisaar Edgar, Ansip Andrus, Kelmsaar Vallo, Jagomägi Priit, Jaani Ago, Nikolajev Jüri, Kompus Meelis, Grasso Angelo, Jaadla Andres, Kiisler Indrek, Vardja Mart, Jõgi Toomas, Paavo Vambola, Klaas Urmas";https://arhiiv.err.ee/vaata/paevakaja-nr-16048-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3446_RMARHIIV.m4a
932;PÄEVAKAJA NR. 16048 kl. 18;RMARH-3445;"";07.04.2005;00:19:21;Eentalu Riina;Päevakaja;"Eentalu Riina, Savisaar Edgar, Ansip Andrus, Kelmsaar Vallo, Parts Juhan, Karjatse Tõnu, Martinson Merike, Riikjärv Mall-Anne, Abner Kadri, Grasso Angelo, Jaadla Andres, Kiisler Indrek, Randmaa Enn, Peterson Peep, Steiner Timo, Mattiesen Monika";https://arhiiv.err.ee/vaata/paevakaja-nr-16048-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3445_RMARHIIV.m4a
933;Päevakaja: PÄEVAKAJA NR. 16049 kl. 18;RMARH-3447;"";08.04.2005;00:21:34;Vare Kai;Päevakaja;"Vare Kai, Ansip Andrus, Savisaar Edgar, Tomberg Hanno, Toode Ülle, Vare Raivo, Pereskokov Boriss, Seim Jüri-Karl, Kelmsaar Vallo, Sule Urmas, Kivimägi Toomas, Šalda Toomas, Veetõusme Ants, Veskimägi Taavi, Karjatse Tõnu, Unt Mati, Eentalu Riina, Härm Anders, Abner Kadri, Klas Eri, Mändla Mirje";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16049-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3447_RMARHIIV.m4a
934;PÄEVAKAJA NR. 16049 kl. 20;RMARH-3448;"";08.04.2005;00:10:04;Vare Kai;Päevakaja;"Vare Kai, Ansip Andrus, Toode Ülle, Veetõusme Ants, Veskimägi Taavi, Karjatse Tõnu, Laar Mart, Varik Lauri";https://arhiiv.err.ee/vaata/paevakaja-nr-16049-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3448_RMARHIIV.m4a
935;PÄEVAKAJA NR. 16050 kl. 18;RMARH-3449;"";09.04.2005;00:16:34;Talve Tanel;Päevakaja;"Talve Tanel, Parts Juhan, Palts Tõnis, Sester Sven, Kompus Meelis, Puccini Simonetta, Trass Raivo, Erm Annely, Tuulik Jüri, Lukas Jaan, Kippasto Mirjam, Paavo Vambola";https://arhiiv.err.ee/vaata/paevakaja-nr-16050-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3449_RMARHIIV.m4a
936;PÄEVAKAJA NR. 16051 kl. 18;RMARH-3450;"";10.04.2005;00:13:42;Karjatse Tõnu;Päevakaja;"Karjatse Tõnu, Ansip Andrus, Vare Kai, Kollom Raigo, Bereczki Urmas, Hallik Ülle";https://arhiiv.err.ee/vaata/paevakaja-nr-16051-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3450_RMARHIIV.m4a
937;PÄEVAKAJA NR. 16052 kl. 20;RMARH-3452;"";11.04.2005;00:11:47;Eentalu Riina;Päevakaja;"Eentalu Riina, Savisaar Edgar, Kiisler Indrek, Uudelepp Agu, Tomberg Hanno, Taal Helin, Michal Kristen, Kelmsaar Vallo, Treufeldt Indrek";https://arhiiv.err.ee/vaata/paevakaja-nr-16052-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3452_RMARHIIV.m4a
938;PÄEVAKAJA NR. 16052 kl. 18;RMARH-3451;"";11.04.2005;00:21:56;Eentalu Riina;Päevakaja;"Eentalu Riina, Savisaar Edgar, Aab Jaak, Laanet Kalle, Kiisler Indrek, Uudelepp Agu, Tomberg Hanno, Taal Helin, Michal Kristen, Kimber Arnold, Suik Urmas, Rist Piret, Kompus Meelis, Treufeldt Indrek, Kallas Siim, Taliga Harri, Sammelselg Guido, Epner Eero, Abner Kadri";https://arhiiv.err.ee/vaata/paevakaja-nr-16052-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3451_RMARHIIV.m4a
939;Päevakaja: PÄEVAKAJA NR. 16053 kl. 18;RMARH-3453;"";12.04.2005;00:24:38;Toom Uku;Päevakaja;"Toom Uku, Ansip Andrus, Savisaar Edgar, Reiljan Villu, Sõerd Aivar, Tomberg Hanno, Ergma Ene, Nestor Eiki, Laar Mart, Rüütel Arnold, Abner Kadri, Õunapuu Jaan, Neivelt Indrek, Karjatse Tõnu, Astok Hannes, Paavo Vambola, Nõgene Paavo, Kelmsaar Vallo";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16053-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3453_RMARHIIV.m4a
940;PÄEVAKAJA NR. 16053 kl. 20;RMARH-3454;"";12.04.2005;00:12:13;Toom Uku;Päevakaja;"Toom Uku, Ansip Andrus, Savisaar Edgar, Reiljan Villu, Sõerd Aivar, Tomberg Hanno, Neivelt Indrek, Kompus Meelis, Ossinovski Oleg, Juchewitsch Barbo, Hääl Heiti";https://arhiiv.err.ee/vaata/paevakaja-nr-16053-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3454_RMARHIIV.m4a
941;PÄEVAKAJA NR. 16054 kl. 18;RMARH-3455;"";13.04.2005;00:22:19;Karjatse Tõnu;Päevakaja;"Karjatse Tõnu, Ansip Andrus, Parts Juhan, Toom Uku, Herkel Andres, Mölder Jüri, Paavo Vambola, Kõo Ahti, Hallikmägi Väino, Vaigur Kristjan, Taliga Harri, Hallik Ülle, Itse Birgit, Maiberg Tarmo, Kaus Jan, Neemre Ädu";https://arhiiv.err.ee/vaata/paevakaja-nr-16054-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3455_RMARHIIV.m4a
942;PÄEVAKAJA NR. 16054 kl. 20;RMARH-3456;"";13.04.2005;00:12:11;Karjatse Tõnu;Päevakaja;"Karjatse Tõnu, Ansip Andrus, Parts Juhan, Toom Uku, Herkel Andres, Palts Tõnis, Tamkivi Jaanus, Itse Birgit, Paul Iliimar, Vähi Tiit, Abner Kadri, Treufeldt Indrek, Maiberg Tarmo";https://arhiiv.err.ee/vaata/paevakaja-nr-16054-kl-20;https://media.err.ee:80/arhiiv/@/AUDIO/a_3456_RMARHIIV.m4a
943;PÄEVAKAJA NR. 16055 kl. 18;RMARH-3457;"";14.04.2005;00:19:27;Kelmsaar Vallo;Päevakaja;"Kelmsaar Vallo, Ansip Andrus, Eentalu Riina, Aun Jaanus, Kaubi Ulvar, Itse Birgit, Cullinane Kevin, Reinsalu Ardo, Kompus Meelis, Luhamets Kristjan, Astok Hannes, Kelt Toomas";https://arhiiv.err.ee/vaata/paevakaja-nr-16055-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3457_RMARHIIV.m4a
